Detected    Correct Sentence
HUM.ind	DESC.desc	what did the only repealed amendment to the u.s. constitution deal with ?
HUM.ind	DESC.desc	what 's the olympic motto ?
HUM.ind	DESC.desc	what do mormons believe ?
LOC.other	DESC.desc	where did the term `` 86ed '' come from ?
LOC.other	DESC.desc	where do chihuahuas come from ?
LOC.other	DESC.desc	what is the historical relationship of catholic church and bingo ?
LOC.other	DESC.desc	where did indian pudding come from ?
DESC.def	DESC.desc	what is the daily requirement of folic acid for an expectant mother ?
HUM.ind	DESC.desc	what are the powers and weaknesses of green lantern 's ring ?
DESC.def	DESC.desc	what is the use of a 24-hour clock instead of a 12-hour clock ?
ENTY.animal	DESC.desc	what are some interesting facts and information about dogsledding ?
HUM.ind	DESC.desc	what do bee hives do in cranberry bogs ?
HUM.ind	DESC.desc	what do economists do ?
ENTY.animal	DESC.desc	what do i need to do to take my dog with me to live in dominica , west indies for a year ?
HUM.ind	DESC.desc	what are the distinct physical characterstics of the arabian horse ?
LOC.other	DESC.desc	where do rocks come from ?
DESC.def	DESC.desc	what is the motto for the state of maryland ?
HUM.ind	DESC.desc	what do players try to do when the music stops in a game of musical chairs ?
DESC.def	DESC.desc	what does a nihilist believe in ?
HUM.ind	DESC.desc	what did richard feynman say upon hearing he would receive the nobel prize in physics ?
HUM.ind	DESC.desc	what happened during the blackhawk indian war of 1832 ?
HUM.ind	DESC.desc	what are the living conditions in cuba ?
HUM.ind	DESC.desc	what information can you get me on fairground park in st. louis
NUM.count	DESC.desc	what excuse did the nato people give for hitting the chinese embassy ?
HUM.ind	ENTY.event	what war did the wanna-go-home riots occur after ?
HUM.gr	ENTY.event	what are the rites accompanying the circumcision of a newly born-child in judaism called ?
HUM.ind	ENTY.event	what war did florence nightingale tend the troops in ?
HUM.ind	ENTY.event	what age followed the bronze age ?
HUM.ind	ENTY.event	what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ?
HUM.ind	NUM.count	what 's the american dollar equivalent for 8 pounds in the u.k. ?
NUM.money	NUM.count	how much snow equals an inch of rain ?
HUM.ind	NUM.count	what was the u.s. highway death toll in 1969 ?
DESC.manner	NUM.count	what is the chromosome number of an elephant ?
NUM.period	NUM.dist	how long is the coney island boardwalk ?
DESC.def	NUM.dist	what is the wingspan of a condor ?
DESC.def	LOC.city	what is california 's capital ?
DESC.def	LOC.city	what russian seaport has a name meaning `` lord of the east '' ?
HUM.ind	LOC.city	what are the five most expensive cities in the world ?
LOC.other	LOC.mount	where is the highest point in japan ?
HUM.ind	ENTY.cremat	what j.r.r. tolkien book features bilbo baggins as the central character ?
