DESC.desc	0.065	contain	what
NUM.volsize	0.003	contain	what
NUM.perc	0.006	contain	what
ENTY.event	0.019	contain	what
NUM.count	0.004	contain	what
ENTY.plant	0.006	contain	what
NUM.dist	0.001	contain	what
LOC.city	0.04	contain	what
LOC.mount	0.009	contain	what
ENTY.cremat	0.058	contain	what
DESC.reason	0.034	contain	what
ENTY.body	0.008	contain	what
LOC.country	0.04	contain	what
ENTY.termeq	0.017	contain	what
HUM.gr	0.035	contain	what
ENTY.letter	0.003	contain	what
ENTY.product	0.009	contain	what
ENTY.instru	0.003	contain	what
ENTY.animal	0.043	contain	what
LOC.state	0.021	contain	what
NUM.speed	0.004	contain	what
ENTY.color	0.013	contain	what
NUM.code	0.001	contain	what
NUM.ord	0.001	contain	what
ENTY.lang	0.006	contain	what
HUM.title	0.008	contain	what
NUM.date	0.027	contain	what
ENTY.religion	0.001	contain	what
ABBR.exp	0.024	contain	what
ENTY.symbol	0.001	contain	what
LOC.other	0.047	contain	what
ABBR.abb	0.004	contain	what
NUM.other	0.011	contain	what
NUM.money	0.008	contain	what
ENTY.techmeth	0.009	contain	what
NUM.temp	0.001	contain	what
DESC.manner	0.001	contain	what
DESC.def	0.017	contain	what
ENTY.food	0.022	contain	what
ENTY.sport	0.019	contain	what
HUM.ind	0.104	contain	what
ENTY.word	0.008	contain	what
ENTY.veh	0.001	contain	what
ENTY.other	0.065	contain	what
ENTY.substance	0.011	contain	what
ENTY.dismed	0.029	contain	what
LOC.city	0.103	contain	which
ENTY.cremat	0.034	contain	which
LOC.country	0.068	contain	which
HUM.gr	0.172	contain	which
ENTY.product	0.068	contain	which
ENTY.animal	0.103	contain	which
LOC.state	0.034	contain	which
NUM.date	0.034	contain	which
LOC.other	0.034	contain	which
DESC.manner	0.034	contain	which
ENTY.food	0.068	contain	which
HUM.ind	0.172	contain	which
ENTY.other	0.034	contain	which
ENTY.dismed	0.034	contain	which
DESC.reason	0.008	contain	who
HUM.gr	0.042	contain	who
ENTY.product	0.008	contain	who
HUM.ind	0.881	contain	who
HUM.desc	0.059	contain	who
DESC.desc	0.047	contain	name
NUM.count	0.035	contain	name
LOC.city	0.035	contain	name
LOC.mount	0.011	contain	name
ENTY.cremat	0.07	contain	name
LOC.country	0.011	contain	name
ENTY.termeq	0.023	contain	name
HUM.gr	0.035	contain	name
ENTY.product	0.011	contain	name
ENTY.animal	0.058	contain	name
LOC.state	0.035	contain	name
ABBR.exp	0.023	contain	name
LOC.other	0.047	contain	name
ABBR.abb	0.011	contain	name
ENTY.techmeth	0.011	contain	name
DESC.manner	0.035	contain	name
DESC.def	0.058	contain	name
ENTY.food	0.011	contain	name
HUM.ind	0.364	contain	name
ENTY.veh	0.011	contain	name
ENTY.other	0.035	contain	name
ENTY.dismed	0.011	contain	name
HUM.gr	1.0	contain	whom
HUM.gr	0.666	contain	team
HUM.ind	0.333	contain	team
ENTY.event	0.09	contain	company
HUM.gr	0.818	contain	company
ABBR.abb	0.09	contain	company
HUM.gr	0.5	contain	tribe
LOC.other	0.5	contain	tribe
HUM.gr	1.0	contain	department
HUM.gr	1.0	contain	organization
DESC.reason	0.285	contain	school
HUM.gr	0.285	contain	school
ENTY.color	0.142	contain	school
NUM.money	0.142	contain	school
DESC.manner	0.142	contain	school
NUM.count	0.333	contain	college
HUM.gr	0.666	contain	college
HUM.gr	1.0	contain	army
HUM.gr	1.0	contain	manufacturer
HUM.gr	1.0	contain	government
DESC.desc	0.122	contain	what is
NUM.volsize	0.011	contain	what is
ENTY.event	0.005	contain	what is
NUM.count	0.005	contain	what is
NUM.dist	0.005	contain	what is
LOC.city	0.023	contain	what is
LOC.mount	0.017	contain	what is
ENTY.cremat	0.017	contain	what is
DESC.reason	0.04	contain	what is
ENTY.body	0.005	contain	what is
LOC.country	0.011	contain	what is
ENTY.termeq	0.023	contain	what is
HUM.gr	0.011	contain	what is
ENTY.product	0.005	contain	what is
ENTY.animal	0.029	contain	what is
LOC.state	0.017	contain	what is
NUM.speed	0.017	contain	what is
NUM.code	0.005	contain	what is
ENTY.lang	0.005	contain	what is
HUM.title	0.017	contain	what is
NUM.date	0.011	contain	what is
ABBR.exp	0.017	contain	what is
LOC.other	0.046	contain	what is
ABBR.abb	0.017	contain	what is
NUM.other	0.029	contain	what is
NUM.money	0.011	contain	what is
ENTY.techmeth	0.005	contain	what is
NUM.temp	0.005	contain	what is
DESC.def	0.284	contain	what is
ENTY.food	0.005	contain	what is
HUM.ind	0.017	contain	what is
ENTY.word	0.017	contain	what is
ENTY.other	0.04	contain	what is
ENTY.substance	0.011	contain	what is
ENTY.dismed	0.075	contain	what is
ENTY.event	0.027	contain	what was
NUM.count	0.027	contain	what was
LOC.mount	0.027	contain	what was
ENTY.cremat	0.162	contain	what was
DESC.reason	0.027	contain	what was
LOC.country	0.027	contain	what was
HUM.gr	0.027	contain	what was
ENTY.animal	0.108	contain	what was
HUM.title	0.054	contain	what was
LOC.other	0.027	contain	what was
NUM.other	0.054	contain	what was
NUM.money	0.027	contain	what was
DESC.def	0.054	contain	what was
ENTY.food	0.027	contain	what was
